ID,Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
tt7687138,Bhor: Dawn,2018.0,93.0,7.4,143.0,Drama            ,hindi
tt3741236,The Killer Inside,2014.0,,7.1,18.0,"Short, Horror            ",urdu
tt6876606,Alcohol,2017.0,,7.4,7.0,"Short, Drama            ",malayalam
tt0271770,Samsaram,1988.0,,8.2,6.0,Drama            ,telugu
tt5068892,Kerry on Kutton,2016.0,125.0,5.7,215.0,Drama            ,hindi
tt1285147,Visakha Express,2008.0,99.0,4.9,66.0,"Action, Crime, Drama            ",telugu
tt0325507,Gulacha Ganapati,1953.0,137.0,8.6,31.0,Comedy            ,marathi
tt8238312,Mithun,2018.0,133.0,6.4,8.0,Romance            ,marathi
tt4581722,Ishq Ke Parindey,2015.0,120.0,6.8,51.0,"Music, Romance            ",hindi
tt1773301,Bebus,1979.0,,6.6,7.0,Drama            ,hindi
tt0051399,Bari Theke Paliye,1958.0,124.0,7.6,194.0,Drama            ,bengali
tt9850646,Doorbeen,2019.0,126.0,5.9,88.0,"Adventure, Comedy, Drama            ",punjabi
tt3908994,Suntali,2014.0,110.0,7.1,22.0,"Comedy, Drama            ",nepali
tt0247992,Dulhan Hum Le Jayenge,2000.0,158.0,5.0,3012.0,"Comedy, Drama, Romance            ",hindi
tt5638474,Wajah Tum Ho,2016.0,136.0,4.3,1129.0,"Drama, Mystery, Romance            ",hindi
tt0495245,Wounded,2007.0,,5.7,11.0,Biography            ,hindi
tt0162480,Mr. & Mrs. Khiladi,1997.0,133.0,6.4,5940.0,"Comedy, Drama, Romance            ",hindi
tt8016198,Bangalore Underworld,2017.0,,5.2,13.0,"Crime, Drama            ",kannada
tt4675414,Handa and Bhonda,2010.0,115.0,6.4,43.0,"Comedy, Drama            ",bengali
tt5543488,Sowkarpettai,2016.0,91.0,1.9,116.0,"Horror, Thriller            ",tamil
tt3037162,Ramanujan,2014.0,153.0,7.2,177.0,"Biography, Drama, History            ",tamil
tt0120117,Shikari,2000.0,160.0,4.5,423.0,"Crime, Drama, Thriller            ",hindi
tt3359290,Bobby Jasoos,2014.0,121.0,5.5,2174.0,"Comedy, Drama, Thriller            ",urdu
tt0390669,Zulm Ko Jala Doonga,1988.0,,4.6,11.0,Action            ,hindi
tt8936268,Myrah,2018.0,134.0,5.7,13.0,"Drama, Romance            ",hindi
tt0048951,Some Where in Delhi,1956.0,128.0,5.1,9.0,"Comedy, Drama, Romance            ",hindi
tt0278794,Uyarum Njan Naadake,1985.0,129.0,6.7,18.0,,malayalam
tt6120482,Chinna Dada,2016.0,119.0,5.8,12.0,"Action, Thriller            ",malayalam
tt0305993,Pyaasi Aankhen,1983.0,,5.6,10.0,Drama            ,hindi
tt0109555,Darr,1993.0,178.0,7.8,22352.0,"Action, Drama, Romance            ",hindi
tt0368811,Jajantaram Mamantaram,2003.0,122.0,5.8,819.0,"Action, Adventure, Comedy            ",hindi
tt0274104,Sreekrishnapurathe Nakshathrathilakkam,1998.0,157.0,6.9,202.0,Comedy            ,malayalam
